geo_name,geo_sumlevel,geo_id,median_property_value_2013,median_property_value_2014,median_property_value_2015,median_property_value_2016
"Covington city, VA","county",05000US51580,66900,66000,68600,70900
"Danville city, VA","county",05000US51590,87800,88300,88600,90800
"Emporia city, VA","county",05000US51595,104000,114100,115000,122600
"Fairfax city, VA","county",05000US51600,456700,462800,470300,487700
"Falls Church city, VA","county",05000US51610,660900,665400,718900,724000
"Franklin city, VA","county",05000US51620,186700,170900,178700,171700
"Fredericksburg city, VA","county",05000US51630,314300,317000,317900,321500
"Galax city, VA","county",05000US51640,112900,108300,91000,101600
"Hampton city, VA","county",05000US51650,195400,191800,188000,187700
"Harrisonburg city, VA","county",05000US51660,208100,200700,199400,197400
"Hopewell city, VA","county",05000US51670,139400,129600,123800,125400
"Lexington city, VA","county",05000US51678,262700,248900,242700,230500
